log_id,driver_id,timestamp,elapsed_hours,cumulative_earnings,recalc_velocity,target_velocity,needed_velocity,shift_phase,forecast_status,pct_complete,message
VEL0102,DRV031,06-02-2024 18:11,1.1,527,479.09,193.57,123.78,early,on_track,48.6,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0103,DRV031,06-02-2024 19:13,2.13,925,434.27,193.57,45.82,mid,on_track,85.3,You're on track — just 15% left to go.
VEL0104,DRV031,06-02-2024 20:13,3.13,1400,447.28,193.57,-127.94,mid,achieved,129.2,🎯 Goal reached! Any more trips today are a bonus.
VEL0105,DRV031,06-02-2024 20:53,3.8,1618,425.79,193.57,-296.67,peak,achieved,149.3,🎯 Goal reached! Any more trips today are a bonus.
VEL0106,DRV031,06-02-2024 21:43,4.63,1860,401.73,193.57,-800.0,late,achieved,171.6,🎯 Goal reached! Any more trips today are a bonus.
VEL0107,DRV031,06-02-2024 22:42,5.62,2309,410.85,193.57,0.0,late,achieved,213.0,🎯 Goal reached! Any more trips today are a bonus.
VEL0108,DRV032,06-02-2024 06:58,0.67,236,352.24,183.61,175.55,early,on_track,8.7,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0109,DRV032,06-02-2024 08:28,2.17,930,428.57,183.61,141.18,early,on_track,34.5,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0110,DRV033,06-02-2024 06:27,0.13,146,1123.08,223.33,205.26,early,on_track,9.9,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0111,DRV033,06-02-2024 07:19,1.0,532,532.0,223.33,168.21,early,on_track,36.1,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0112,DRV033,06-02-2024 08:10,1.85,704,380.54,223.33,162.11,mid,on_track,47.8,You're on track — just 52% left to go.
VEL0113,DRV033,06-02-2024 09:14,2.92,1013,346.92,223.33,125.27,mid,on_track,68.7,You're on track — just 31% left to go.
VEL0114,DRV034,06-02-2024 12:53,0.4,361,902.5,225.15,181.45,early,on_track,24.3,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0115,DRV034,06-02-2024 14:29,2.0,1015,507.5,225.15,102.39,mid,on_track,68.3,You're on track — just 32% left to go.
VEL0116,DRV035,06-02-2024 06:43,0.33,138,418.18,242.21,234.33,early,on_track,7.4,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0117,DRV035,06-02-2024 08:02,1.65,562,340.61,242.21,215.37,early,on_track,30.1,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0118,DRV035,06-02-2024 08:30,2.12,700,330.19,242.21,208.78,mid,on_track,37.5,You're on track — just 62% left to go.
VEL0119,DRV036,06-02-2024 06:48,0.57,144,252.63,224.71,222.15,early,on_track,9.4,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0120,DRV036,06-02-2024 07:44,1.5,602,401.33,224.71,174.72,early,on_track,39.4,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0121,DRV036,06-02-2024 08:28,2.23,968,434.08,224.71,122.54,mid,on_track,63.4,You're on track — just 37% left to go.
VEL0122,DRV036,06-02-2024 09:39,3.42,1606,469.59,224.71,-23.08,mid,achieved,105.1,🎯 Goal reached! Any more trips today are a bonus.
VEL0123,DRV037,06-02-2024 07:08,0.65,724,1113.85,189.0,94.33,early,on_track,54.7,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0124,DRV037,06-02-2024 08:19,1.83,1041,568.85,189.0,54.55,mid,on_track,78.7,You're on track — just 21% left to go.
VEL0125,DRV037,06-02-2024 09:38,3.15,1465,465.08,189.0,-36.88,mid,achieved,110.7,🎯 Goal reached! Any more trips today are a bonus.
VEL0126,DRV038,06-02-2024 06:44,0.58,451,777.59,310.08,288.07,early,on_track,11.3,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0127,DRV038,06-02-2024 07:27,1.3,618,475.38,310.08,291.55,early,on_track,15.4,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0128,DRV038,06-02-2024 08:26,2.28,1246,546.49,310.08,259.32,early,on_track,31.1,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0129,DRV038,06-02-2024 09:59,3.83,1830,477.81,310.08,239.25,mid,on_track,45.8,You're on track — just 54% left to go.
VEL0130,DRV038,06-02-2024 11:12,5.05,2298,455.05,310.08,216.82,mid,on_track,57.5,You're on track — just 42% left to go.
VEL0131,DRV038,06-02-2024 12:11,6.03,2614,433.5,310.08,201.75,mid,on_track,65.3,You're on track — just 35% left to go.
VEL0132,DRV039,06-02-2024 13:17,0.9,522,580.0,193.73,141.06,early,on_track,35.9,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0133,DRV039,06-02-2024 14:25,2.03,843,415.27,193.73,111.52,mid,on_track,58.0,You're on track — just 42% left to go.
VEL0134,DRV039,06-02-2024 15:42,3.32,1475,444.28,193.73,-5.26,mid,achieved,101.5,🎯 Goal reached! Any more trips today are a bonus.
VEL0135,DRV039,06-02-2024 17:01,4.63,1985,428.73,193.73,-185.37,peak,achieved,136.6,🎯 Goal reached! Any more trips today are a bonus.
VEL0136,DRV039,06-02-2024 17:33,5.17,2140,413.93,193.73,-294.85,peak,achieved,147.3,🎯 Goal reached! Any more trips today are a bonus.
VEL0137,DRV039,06-02-2024 18:56,6.55,2556,390.23,193.73,-1161.05,late,achieved,175.9,🎯 Goal reached! Any more trips today are a bonus.
VEL0138,DRV040,06-02-2024 17:44,0.62,364,587.1,160.57,104.06,early,on_track,42.8,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0139,DRV040,06-02-2024 18:34,1.45,557,384.14,160.57,76.36,mid,on_track,65.5,You're on track — just 34% left to go.
VEL0140,DRV040,06-02-2024 19:46,2.65,909,343.02,160.57,-21.89,mid,achieved,106.8,🎯 Goal reached! Any more trips today are a bonus.
VEL0141,DRV040,06-02-2024 21:10,4.05,1510,372.84,160.57,-527.2,peak,achieved,177.4,🎯 Goal reached! Any more trips today are a bonus.
VEL0142,DRV040,06-02-2024 22:42,5.58,2177,390.14,160.57,0.0,late,achieved,255.8,🎯 Goal reached! Any more trips today are a bonus.
VEL0143,DRV041,06-02-2024 12:50,0.5,325,650.0,226.91,193.33,early,on_track,21.1,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0144,DRV041,06-02-2024 13:40,1.33,802,603.01,226.91,135.47,early,on_track,52.0,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0145,DRV041,06-02-2024 14:26,2.1,1241,590.95,226.91,64.26,mid,on_track,80.4,You're on track — just 20% left to go.
VEL0146,DRV041,06-02-2024 15:58,3.63,1731,476.86,226.91,-59.31,mid,achieved,112.2,🎯 Goal reached! Any more trips today are a bonus.
VEL0147,DRV041,06-02-2024 17:20,5.0,2163,432.6,226.91,-344.44,peak,achieved,140.2,🎯 Goal reached! Any more trips today are a bonus.
VEL0148,DRV042,06-02-2024 18:05,0.65,636,978.46,171.67,61.26,early,on_track,68.6,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0149,DRV042,06-02-2024 19:23,1.95,941,482.56,171.67,-4.06,mid,achieved,101.5,🎯 Goal reached! Any more trips today are a bonus.
VEL0150,DRV042,06-02-2024 20:34,3.13,1538,491.37,171.67,-269.16,mid,achieved,165.9,🎯 Goal reached! Any more trips today are a bonus.
VEL0151,DRV043,06-02-2024 13:12,0.83,644,775.9,170.41,93.91,early,on_track,51.1,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0152,DRV043,06-02-2024 14:27,2.08,1345,646.63,170.41,-15.79,mid,achieved,106.7,🎯 Goal reached! Any more trips today are a bonus.
VEL0153,DRV043,06-02-2024 15:18,2.93,1914,653.24,170.41,-146.09,mid,achieved,151.8,🎯 Goal reached! Any more trips today are a bonus.
VEL0154,DRV043,06-02-2024 16:00,3.63,2290,630.85,170.41,-272.94,mid,achieved,181.6,🎯 Goal reached! Any more trips today are a bonus.
VEL0155,DRV043,06-02-2024 16:46,4.4,2479,563.41,170.41,-406.0,mid,achieved,196.6,🎯 Goal reached! Any more trips today are a bonus.
VEL0156,DRV043,06-02-2024 17:52,5.5,3186,579.27,170.41,-1013.16,peak,achieved,252.7,🎯 Goal reached! Any more trips today are a bonus.
VEL0157,DRV044,06-02-2024 12:58,0.58,351,605.17,280.0,251.51,early,on_track,17.4,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0158,DRV044,06-02-2024 13:55,1.53,818,534.64,280.0,211.29,early,on_track,40.6,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0159,DRV044,06-02-2024 15:10,2.78,1366,491.37,280.0,147.06,mid,on_track,67.8,You're on track — just 32% left to go.
VEL0160,DRV045,06-02-2024 06:54,0.9,525,583.33,276.15,226.79,early,on_track,29.2,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0161,DRV045,06-02-2024 08:19,2.32,1138,490.52,276.15,157.18,mid,on_track,63.4,You're on track — just 37% left to go.
VEL0162,DRV045,06-02-2024 09:29,3.48,1542,443.1,276.15,83.77,mid,on_track,85.9,You're on track — just 14% left to go.
VEL0163,DRV045,06-02-2024 11:00,5.0,2076,415.2,276.15,-187.33,peak,achieved,115.7,🎯 Goal reached! Any more trips today are a bonus.
VEL0164,DRV046,06-02-2024 06:53,0.4,224,560.0,245.0,225.31,early,on_track,13.4,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0165,DRV046,06-02-2024 08:23,1.9,692,364.21,245.0,198.78,mid,on_track,41.5,You're on track — just 58% left to go.
VEL0166,DRV047,06-02-2024 07:15,1.15,555,482.61,173.11,147.6,early,on_track,21.2,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0167,DRV047,06-02-2024 08:05,1.98,958,483.84,173.11,126.22,early,on_track,36.6,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0168,DRV047,06-02-2024 09:02,2.93,1193,407.17,173.11,116.76,early,on_track,45.6,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0169,DRV048,06-02-2024 06:52,0.67,433,646.27,258.94,240.96,early,on_track,11.1,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0170,DRV048,06-02-2024 08:08,1.93,721,373.58,258.94,242.14,early,on_track,18.4,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0171,DRV049,06-02-2024 07:12,0.97,458,472.16,240.65,207.28,early,on_track,24.7,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0172,DRV049,06-02-2024 08:01,1.78,695,390.45,240.65,195.61,early,on_track,37.5,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0173,DRV050,06-02-2024 07:24,1.18,462,391.53,280.93,269.8,early,on_track,12.7,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0174,DRV050,06-02-2024 08:29,2.27,1057,465.64,280.93,241.49,early,on_track,29.2,Good start! Keep this pace and you'll hit your goal comfortably.
VEL0175,DRV050,06-02-2024 09:57,3.73,1823,488.74,280.93,196.4,mid,on_track,50.3,You're on track — just 50% left to go.
VEL0176,DRV050,06-02-2024 10:54,4.68,1982,423.5,280.93,199.76,mid,on_track,54.7,You're on track — just 45% left to go.
